Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product	Checked out by
1940173..1940856	-	227	15901854	araD	SP_2033	-	COG0235G	L-ribulose-5-phosphate 4-epimerase	
1150052..1151038	+	328	15901082	ldh	SP_1220	-	COG0039C	L-lactate dehydrogenase	
2082552..2083190	-	212	15901976	-	SP_2166	-	COG0235G	L-fuculose phosphate aldolase	
2083305..2084708	-	467	15901977	-	SP_2167	-	COG1070G	L-fuculose kinase fucK	
2072292..2074058	-	588	15901968	fucI	SP_2158	-	COG2407G	L-fucose isomerase	
1900696..1901658	+	320	15901821	-	SP_1998	-	COG0252EJ	L-asparaginase	
1937118..1938209	-	363	15901852	-	SP_2031	-	COG2220R	L-ascorbate 6-phosphate lactonase	
732090..732329	+	79	15900670	-	SP_0776	-	COG1837R	KH domain-containing protein	
419696..420706	+	336	15900364	-	SP_0447	-	COG0059EH	ketol-acid reductoisomerase	
291831..292460	-	209	15900249	-	SP_0317	-	COG0800G	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase	
1945556..1946542	-	328	15901861	-	SP_2040	-	COG1847R	jag protein	
364109..365119	+	336	15900307	-	SP_0384	-	COG1304C	isopentenyl pyrophosphate isomerase	
1559245..1562037	-	930	15901494	ileS	SP_1659	-	COG0060J	isoleucyl-tRNA synthetase	
1488139..1488714	-	191	15901425	-	SP_1583	-	COG1335Q	isochorismatase	
1648117..1648617	-	166	15901577	-	SP_1745	-	COG1335Q	isochorismatase	
1362492..1362842	-	116	15901292	-	SP_1442	-	COG3436L	IS66 family Orf2	
1238079..1238318	-	79	15901168	-	SP_1314	-	-	IS66 family Orf1	
1362823..1363062	-	79	15901293	-	SP_1443	-	-	IS66 family Orf1	
20929..21267	+	112	15899965	-	SP_0016	-	COG3335L	"IS630-Spn1, transposase Orf2"	
275816..276154	+	112	15900234	-	SP_0300	-	COG3335L	"IS630-Spn1, transposase Orf2"	
318978..319316	-	112	15900274	-	SP_0344	-	COG3335L	"IS630-Spn1, transposase Orf2"	
769728..770051	+	107	15900707	-	SP_0819	-	COG3335L	"IS630-Spn1, transposase Orf2"	
1073986..1074324	-	112	15901013	-	SP_1148	-	COG3335L	"IS630-Spn1, transposase Orf2"	
1921149..1921487	-	112	15901837	-	SP_2014	-	COG3335L	"IS630-Spn1, transposase Orf2"	
275290..275637	+	115	15900233	-	SP_0299	-	COG3415L	"IS630-Spn1, transposase Orf1, authentic frameshift"	
20404..20820	+	138	15899964	-	SP_0015	-	COG3415L	"IS630-Spn1, transposase Orf1"	
1074433..1074849	-	138	15901014	-	SP_1149	-	COG3415L	"IS630-Spn1, transposase Orf1"	
1921596..1922012	-	138	15901838	-	SP_2015	-	COG3415L	"IS630-Spn1, transposase Orf1"	
319495..319842	-	115	118090039	-	SP_0345	-	COG3415L	IS630-Spn1 transposase	
769180..769530	+	116	118090043	-	SP_0818	-	COG3415L	IS630-Spn1 transposase	
938452..938799	+	115	118090035	-	SP_0995	-	COG3415L	IS630-Spn1 transposase	
1397026..1397859	-	277	15901334	-	SP_1485	-	COG2801L	"IS3-Spn1, transposase"	
999422..999895	+	157	15900934	-	SP_1064	-	COG1943L	IS200 family transposase	
1522724..1523197	+	157	15901458	-	SP_1622	-	COG1943L	IS200 family transposase	
514553..514942	+	129	15900451	-	SP_0538	-	COG3293L	IS1381 transposase protein B	
891713..892102	-	129	15900820	-	SP_0941	-	COG3293L	IS1381 transposase protein B	
1021985..1022374	+	129	15900954	-	SP_1086	-	COG3293L	IS1381 transposase protein B	
1130500..1130889	-	129	15901059	-	SP_1195	-	COG3293L	IS1381 transposase protein B	
1835344..1835733	+	129	15901752	-	SP_1928	-	COG3293L	IS1381 transposase protein B	
1990129..1990518	-	129	15901896	-	SP_2079	-	COG3293L	IS1381 transposase protein B	
2049407..2049796	+	129	15901951	-	SP_2138	-	COG3293L	IS1381 transposase protein B	
514138..514527	+	129	15900450	-	SP_0537	-	-	IS1381 transposase protein A	
892119..892517	-	132	15900821	-	SP_0942	-	-	IS1381 transposase protein A	
1235637..1236035	-	132	15901167	-	SP_1310	-	-	IS1381 transposase protein A	
1834929..1835318	+	129	15901751	-	SP_1927	-	-	IS1381 transposase protein A	
301056..302402	+	448	15900260	-	SP_0328	-	-	IS1380-Spn1 transposase	
317355..318701	-	448	15900273	-	SP_0343	-	-	IS1380-Spn1 transposase	
472994..474340	-	448	15900409	-	SP_0495	-	-	IS1380-Spn1 transposase	
678711..680057	-	448	15900611	-	SP_0714	-	-	IS1380-Spn1 transposase	
1259720..1261066	-	448	15901191	-	SP_1337	-	-	IS1380-Spn1 transposase	
1272838..1274184	-	448	15901206	-	SP_1352	-	-	IS1380-Spn1 transposase	
1338003..1339349	+	448	15901271	-	SP_1418	-	-	IS1380-Spn1 transposase	
1358413..1359759	+	448	15901291	-	SP_1439	-	-	IS1380-Spn1 transposase	
1410910..1412256	+	448	15901350	-	SP_1503	-	-	IS1380-Spn1 transposase	
1499265..1500611	+	448	15901435	-	SP_1595	-	-	IS1380-Spn1 transposase	
2095739..2097085	-	448	15901988	-	SP_2179	-	-	IS1380-Spn1 transposase	
868167..869162	-	331	15900795	-	SP_0915	-	COG2826L	IS1239 transposase	
434770..436038	-	422	15900376	-	SP_0460	-	COG3464L	"IS1167, transposase"	
784413..785669	-	418	15900723	-	SP_0836	-	COG3464L	"IS1167, transposase"	
1193814..1195070	+	418	15901122	-	SP_1262	-	COG3464L	"IS1167, transposase"	
1363255..1364511	+	418	15901294	-	SP_1444	-	COG3464L	"IS1167, transposase"	
1486593..1487849	+	418	15901424	-	SP_1582	-	COG3464L	"IS1167, transposase"	
1538071..1539345	-	424	15901475	-	SP_1639	-	COG3464L	"IS1167, transposase"	
1593972..1595228	+	418	15901527	-	SP_1692	-	COG3464L	"IS1167, transposase"	
1707173..1708429	-	418	15901621	-	SP_1792	-	COG3464L	"IS1167, transposase"	
1537349..1537999	+	216	15901474	-	SP_1638	-	COG1321K	iron-dependent transcriptional regulator	
2070995..2072146	-	383	15901967	-	SP_2157	-	COG1454C	iron-containing alcohol dehydrogenase	
1777262..1778227	+	321	15901700	-	SP_1872	-	COG4607P	iron-compound ABC transporter iron-compound-binding protein	
973406..974431	+	341	15900903	-	SP_1032	-	COG0614P	iron-compound ABC transporter iron compound-binding protein	
1776414..1777166	+	250	15901699	-	SP_1871	-	COG4604P	iron-compound ABC transporter ATP-binding protein	
976435..977229	+	264	15900906	-	SP_1035	-	COG1120PH	iron-compound ABC transporter ATP-binding protein	
213491..214507	-	338	15900178	-	SP_0243	-	COG1840P	iron ABC transporter substrate-binding protein	
975428..976435	+	335	15900905	-	SP_1034	-	COG4779P	iron ABC transporter permease	
1774497..1775471	+	324	15901697	-	SP_1869	-	COG4606P	iron ABC transporter permease	
1775461..1776417	+	318	15901698	-	SP_1870	-	COG4605P	iron ABC transporter permease	
974409..975428	+	339	15900904	-	SP_1033	-	COG0609P	iron ABC transporter permease	
1647751..1648104	-	117	15901576	-	SP_1744	-	COG0799S	iojap-like protein	
817299..818711	+	470	15900754	-	SP_0871	-	COG0719O	intein-containing protein	
1707036..1707152	-	38	15901620	-	SP_1791	-	-	integrase-like protein	
1325817..1326590	-	257	15901257	-	SP_1403	-	COG0483G	inositol monophosphatase	
2145972..2147450	-	492	15902032	-	SP_2228	-	COG0516F	inosine 5'-monophosphate dehydrogenase	
1031131..1031949	+	272	15900966	ppnK	SP_1098	-	COG0061G	inorganic polyphosphate/ATP-NAD kinase	
1726988..1727755	-	255	15901643	trpC	SP_1814	-	COG0134E	indole-3-glycerol phosphate synthase	
73761..79331	+	1856	15900016	-	SP_0071	-	COG3583S	immunoglobulin A1 protease	
1083881..1089895	+	2004	15901019	-	SP_1154	-	COG3583S	immunoglobulin A1 protease	
517402..518091	+	229	15900458	-	SP_0545	-	COG1266R	immunity protein BlpY	
516952..517350	+	132	15900457	-	SP_0544	-	-	immunity protein BlpX	
513531..513935	+	134	15900449	-	SP_0536	-	-	immunity protein BlpL	
1890565..1892598	-	677	15901811	-	SP_1988	-	COG4652S	immunity protein	
11812..12354	+	180	15899961	-	SP_0012	-	COG0634F	hypoxanthine-guanine phosphoribosyltransferase	
1631071..1632267	-	398	15901560	-	SP_1727	-	COG3425I	hydroxymethylglutaryl-CoA synthase	
683028..683810	+	260	15900614	-	SP_0717	-	COG2145H	hydroxyethylthiazole kinase	
688830..689633	+	267	15900621	-	SP_0724	-	COG2145H	hydroxyethylthiazole kinase	
983124..983978	+	284	15900915	-	SP_1044	-	COG1397O	hydrolase	
1894395..1895168	-	257	15901814	-	SP_1991	-	COG0084L	hydrolase	
287483..290683	+	1066	15900247	-	SP_0314	-	-	hyaluronidase	
1332386..1333324	-	312	15901267	-	SP_1413	-	COG1493T	HPr kinase/phosphorylase	
1482151..1483095	-	314	15901418	-	SP_1576	-	COG1897E	homoserine O-succinyltransferase	
1282226..1283095	-	289	15901214	-	SP_1360	-	COG0083E	homoserine kinase	
1283097..1284383	-	428	15901215	-	SP_1361	-	COG0460E	homoserine dehydrogenase	
349009..349605	-	198	15900293	recU	SP_0370	-	COG3331R	Holliday junction-specific endonuclease	
231600..232598	+	332	15900193	ruvB	SP_0259	-	COG2255L	Holliday junction DNA helicase RuvB	
171843..172436	+	197	15900116	ruvA	SP_0179	-	COG0632L	Holliday junction DNA helicase RuvA	
502190..502600	-	136	15900435	-	SP_0521	-	COG0537FGR	HIT family protein	
595264..595767	+	167	15900535	-	SP_0628	-	COG0537FGR	HIT family protein	
2032438..2033727	-	429	15901936	hisS	SP_2121	-	COG0124J	histidyl-tRNA synthetase	
664654..665289	+	211	15900596	-	SP_0695	-	COG0476H	HesA/MoeB/ThiF family protein	
782487..782999	+	170	15900721	-	SP_0834	-	-	hemolysin-like protein	
1137314..1137910	-	198	15901067	-	SP_1204	-	COG1189J	hemolysin A	
1379253..1379900	+	215	15901316	-	SP_1466	-	COG1272R	hemolysin	
964531..965370	+	279	15900892	-	SP_1021	-	COG2890J	HemK protein	
2128404..2129702	-	432	15902015	-	SP_2208	-	COG4098L	helicase	
541218..542864	+	548	15900485	-	SP_0575	-	COG1061KL	helicase	
379812..382178	-	788	15900320	-	SP_0401	-	COG0507L	helicase	
495411..496445	+	344	15900429	hrcA	SP_0515	-	COG1420K	heat-inducible transcription repressor	
1217931..1218830	-	299	15901143	-	SP_1283	-	COG0501O	heat shock protein HtpX	
496472..496996	+	174	15900430	-	SP_0516	-	COG0576O	heat shock protein GrpE	
2107946..2108818	+	290	15901995	hslO	SP_2188	-	COG1281O	heat shock protein 33	
1106289..1107002	-	237	15901036	-	SP_1171	-	COG1011R	HAD superfamily hydrolase	
1328076..1328849	-	257	15901261	-	SP_1407	-	COG0647G	HAD superfamily hydrolase	
106956..107588	-	210	15900047	-	SP_0104	-	COG0546R	HAD superfamily hydrolase	
759901..760473	+	190	15900698	-	SP_0805	-	COG0546R	HAD superfamily hydrolase	
1964912..1965532	-	206	15901883	-	SP_2064	-	COG0546R	HAD superfamily hydrolase	
1642485..1643111	-	208	15901570	gmk	SP_1738	-	COG0194F	guanylate kinase	
1183536..1184522	-	328	15901110	-	SP_1249	-	COG0516F	guanosine 5'-monophosphate oxidoreductase	
955444..955875	-	143	15900883	-	SP_1011	-	COG2246S	GtrA family protein	
1014604..1015908	+	434	15900948	obgE	SP_1079	-	COG0536R	GTPase ObgE	
3196..4311	+	371	15899953	-	SP_0004	-	COG0012J	GTP-dependent nucleic acid-binding protein EngD	
1650417..1651523	-	368	15901581	-	SP_1749	-	COG1161R	GTP-binding protein YqeH	
1132584..1134407	-	607	15901063	-	SP_1200	-	COG0481M	GTP-binding protein LepA	
647187..648425	+	412	15900573	-	SP_0672	-	COG2262R	GTP-binding protein HflX	
915739..916638	+	299	15900846	era	SP_0969	-	COG1159R	GTP-binding protein Era	
1612751..1614061	-	436	15901543	engA	SP_1709	-	COG1160R	GTP-binding protein EngA	
1068083..1068967	+	294	15901003	-	SP_1137	-	COG1484L	GTP-binding protein	
1541751..1543973	-	740	15901481	-	SP_1645	-	COG0317TK	GTP pyrophosphokinase	
269820..270374	+	184	15900225	folE	SP_0291	-	COG0302H	GTP cyclohydrolase I	
1012809..1014134	+	441	15900945	-	SP_1076	-	COG0438M	group 1 glycosyl transferase	
1288971..1290074	-	367	15901220	-	SP_1366	-	COG0438M	group 1 glycosyl transferase	
1658118..1659629	-	503	15901589	-	SP_1758	-	COG0438M	group 1 glycosyl transferase	
63890..64606	-	238	15900003	-	SP_0058	-	COG2188K	GntR family transcriptional regulator	
1366429..1367136	+	235	15901296	-	SP_1446	-	COG2188K	GntR family transcriptional regulator	
1925563..1926291	-	242	15901841	-	SP_2020	-	COG2188K	GntR family transcriptional regulator	
1617465..1617830	+	121	15901548	-	SP_1714	-	COG1725K	GntR family transcriptional regulator	
1364734..1366296	-	520	15901295	guaA	SP_1445	-	COG0519F	GMP synthase	
1386576..1388612	-	678	15901324	glyS	SP_1474	-	COG0751J	glycyl-tRNA synthetase subunit beta	
1388824..1389741	-	305	15901325	glyQ	SP_1475	-	COG0752J	glycyl-tRNA synthetase subunit alpha	
1747591..1748283	-	230	15901667	-	SP_1838	-	COG2148M	glycosyl transferase family protein	
1667731..1668927	-	398	15901596	-	SP_1765	-	COG1442M	glycosyl transferase family protein	
1668936..1670156	-	406	15901597	-	SP_1766	-	COG1442M	glycosyl transferase family protein	
1670187..1672631	-	814	15901598	-	SP_1767	-	COG1442M	glycosyl transferase family protein	
1674561..1675775	-	404	15901600	-	SP_1770	-	COG1442M	glycosyl transferase family protein	
1676082..1678172	-	696	15901601	-	SP_1771	-	COG1442M	glycosyl transferase family protein	
103562..104626	+	354	15900045	-	SP_0102	-	COG1215M	glycosyl transferase family protein	
134231..135106	+	291	15900075	-	SP_0136	-	COG0463M	glycosyl transferase family protein	
1287983..1288969	-	328	15901219	-	SP_1365	-	COG0463M	glycosyl transferase family protein	
1507460..1508422	-	320	15901446	-	SP_1606	-	COG0463M	glycosyl transferase family protein	
1666826..1667731	-	301	15901595	-	SP_1764	-	COG0463M	glycosyl transferase family protein	
133795..134238	+	147	15900074	-	SP_0135	-	COG0438M	glycosyl transferase family protein	
1011777..1012793	+	338	15900944	-	SP_1075	-	COG0438M	glycosyl transferase CpoA	
2050572..2052452	-	626	15901954	-	SP_2141	-	COG3525G	glycosyl hydrolase-like protein	
238198..239577	+	459	15900199	-	SP_0265	-	COG2723G	glycosyl hydrolase	
1926449..1927858	+	469	15901842	-	SP_2021	-	COG2723G	glycosyl hydrolase	
284523..286562	+	679	15900245	-	SP_0312	-	COG1501G	glycosyl hydrolase	
1057905..1059338	+	477	15900991	glgA	SP_1124	-	COG0297G	glycogen synthase	
2016399..2018657	-	752	15901921	-	SP_2106	-	COG0058G	glycogen phosphorylase	
1053719..1055647	+	642	15900988	-	SP_1121	-	COG0296G	glycogen branching protein	
1056769..1057908	+	379	15900990	-	SP_1123	-	COG0448G	glycogen biosynthesis protein GlgD	
797560..798201	-	213	15900736	-	SP_0851	-	COG0344S	glycerol-3-phosphate acyltransferase PlsY	
38101..39093	+	330	15899983	-	SP_0037	-	COG0416I	glycerol-3-phosphate acyltransferase PlsX	
1401454..1402323	-	289	15901339	-	SP_1491	-	COG0580G	glycerol uptake facilitator protein	
2102045..2102749	-	234	15901991	-	SP_2184	-	COG0580G	glycerol uptake facilitator protein	
2104687..2106195	-	502	15901993	glpK	SP_2186	-	COG0554C	glycerol kinase	
223209..224297	+	362	15900188	gldA	SP_0253	-	COG0371C	glycerol dehydrogenase	
1051812..1053236	+	474	15900986	-	SP_1119	-	COG1012C	glyceraldehyde-3-phosphate dehydrogenase	
1918942..1919949	-	335	15901835	-	SP_2012	-	COG0057G	glyceraldehyde-3-phosphate dehydrogenase	
1457501..1458292	-	263	15901393	-	SP_1550	-	COG0625O	glutathione S-transferase	
736905..738251	-	448	15900677	-	SP_0784	-	COG1249C	glutathione reductase	
286784..287260	-	158	15900246	-	SP_0313	-	COG0386O	glutathione peroxidase	
1976627..1978087	-	486	15901888	gltX	SP_2069	-	COG0008J	glutamyl-tRNA synthetase	
1771923..1772987	-	354	15901693	-	SP_1865	-	COG1363G	glutamyl-aminopeptidase	
483927..485273	+	448	15900416	-	SP_0502	-	COG0174E	"glutamine synthetase, type I"	
1979730..1980458	-	242	15901891	-	SP_2072	-	COG2071R	"glutamine amidotransferase, class-I"	
1379921..1380502	-	193	15901317	-	SP_1467	-	COG0311H	glutamine amidotransferase subunit PdxT	
1025576..1026265	-	229	15900957	-	SP_1089	-	COG2071R	glutamine amidotransferase	
1783373..1784167	-	264	15901709	-	SP_1881	-	COG0796M	glutamate racemase	
1232602..1233948	+	448	15901165	-	SP_1306	-	COG0334E	glutamate dehydrogenase	
295694..296884	+	396	15900254	-	SP_0322	-	COG4225R	glucuronyl hydrolase	
1978211..1979560	-	449	15901889	pgi	SP_2070	-	COG0166G	glucose-6-phosphate isomerase	
1174555..1176042	+	495	15901104	-	SP_1243	-	COG0364G	glucose-6-phosphate 1-dehydrogenase	
1055637..1056779	+	380	15900989	glgC	SP_1122	-	COG0448G	glucose-1-phosphate adenylyltransferase	
1333773..1334474	-	233	15901269	-	SP_1415	-	COG0363G	glucosamine-6-phosphate isomerase	
239770..241578	+	602	15900200	-	SP_0266	-	COG0449M	glucosamine--fructose-6-phosphate aminotransferase	
294162..294977	-	271	15900252	-	SP_0320	-	COG1028IQR	gluconate 5-dehydrogenase	
644073..645035	+	320	194172858	-	SP_0668	-	COG1940KG	glucokinase	
315338..316945	+	535	15900272	-	SP_0342	-	COG0366G	"glucan 1,6-alpha-glucosidase"	
1248260..1249399	-	379	15901179	-	SP_1325	-	COG0673R	Gfo/Idh/MocA family oxidoreductase	
1394319..1395296	+	325	15901332	-	SP_1482	-	COG0673R	Gfo/Idh/MocA family oxidoreductase	
1586028..1587131	-	367	15901521	-	SP_1686	-	COG0673R	Gfo/Idh/MocA family oxidoreductase	
1138122..1138997	-	291	15901068	-	SP_1205	-	COG0142H	geranyltranstransferase	
1719637..1720245	+	202	15901633	-	SP_1804	-	COG1302S	general stress protein 24	
885291..886553	+	420	15900812	proA	SP_0932	-	COG0014E	gamma-glutamyl phosphate reductase	
884172..885281	+	369	15900811	-	SP_0931	-	COG0263E	gamma-glutamyl kinase	
1128859..1129374	-	171	15901057	-	SP_1192	-	COG0698G	galactose-6-phosphate isomerase subunit LacB	
1129405..1129830	-	141	15901058	-	SP_1193	-	COG0698G	galactose-6-phosphate isomerase subunit LacA	
1740023..1741498	-	491	15901658	-	SP_1829	-	COG4468G	galactose-1-phosphate uridylyltransferase	
1759048..1760529	-	493	15901680	-	SP_1852	-	COG4468G	galactose-1-phosphate uridylyltransferase	
1761891..1762898	+	335	15901682	-	SP_1854	-	COG1609K	galactose operon repressor	
1760548..1761726	-	392	15901681	-	SP_1853	-	COG0153G	galactokinase	
2084884..2085657	+	257	15901978	-	SP_2168	-	COG1349KG	fucose operon repressor	
2082097..2082540	-	147	15901975	-	SP_2165	-	COG4154G	fucose operon FucU protein	
2074141..2077257	-	1038	15901969	-	SP_2159	-	-	fucolectin-like protein	
571604..572485	+	293	15900513	-	SP_0605	-	COG0191G	fructose-bisphosphate aldolase	
222523..223191	+	222	15900187	-	SP_0252	-	COG0176G	fructose-6-phosphate aldolase	
1624067..1624954	-	295	15901554	-	SP_1721	-	COG1940KG	fructokinase	
1161718..1163388	-	556	15901091	-	SP_1229	-	COG2759F	formate--tetrahydrofolate ligase	
220066..222504	+	812	15900186	-	SP_0251	-	COG1882C	formate acetyltransferase	
432308..434632	+	774	15900375	-	SP_0459	-	COG1882C	formate acetyltransferase	
916687..917511	+	274	15900847	-	SP_0970	-	COG0266L	formamidopyrimidine-DNA glycosylase	
927115..928056	+	313	15900858	prsA	SP_0981	-	COG0760O	foldase protein PrsA	
1145606..1146403	-	265	15901077	-	SP_1215	-	COG2116P	FNT family protein	
155529..155999	+	156	15900096	-	SP_0158	-	COG1780F	flavoprotein NrdI	
160384..160941	+	185	15900103	-	SP_0165	-	COG0452H	flavoprotein	
1229422..1229865	-	147	15901157	-	SP_1297	-	COG0716C	flavodoxin	
953849..954943	+	364	15900881	-	SP_1009	-	COG0276H	ferrochelatase	
1507203..1507409	+	68	15901445	-	SP_1605	-	COG1141C	ferredoxin	
1075357..1078632	+	1091	15901016	-	SP_1151	-	COG3857L	exonuclease RexB	
1078629..1082279	+	1216	15901017	-	SP_1152	-	COG1074L	exonuclease RexA	
1138994..1139206	-	70	15901069	xseB	SP_1206	-	COG1722L	exodeoxyribonuclease VII small subunit	
1139184..1140524	-	446	15901070	xseA	SP_1207	-	COG1570L	exodeoxyribonuclease VII large subunit	
1753187..1754014	+	275	15901674	-	SP_1845	-	COG0708L	exodeoxyribonuclease	
389871..390770	+	299	15900329	-	SP_0410	-	COG1275P	exfoliative toxin	
585747..587591	+	614	15900526	uvrC	SP_0618	-	COG0322L	excinuclease ABC subunit C	
1168313..1170301	-	662	15901100	-	SP_1238	-	COG0556L	excinuclease ABC subunit B	
176877..179708	+	943	15900123	uvrA	SP_0186	-	COG0178L	excinuclease ABC subunit A	
394345..395130	+	261	15900334	-	SP_0415	-	COG1024I	enoyl-CoA hydratase	
397035..398009	+	324	15900338	-	SP_0419	-	COG2070R	enoyl-ACP reductase	
1474996..1475376	-	126	15901410	-	SP_1567	-	COG0251J	endoribonuclease L-PSP	
1545684..1547576	-	630	15901483	-	SP_1647	-	COG3590O	endopeptidase O	
1214431..1215060	-	209	15901139	-	SP_1279	-	COG0177L	endonuclease III	
1186000..1187931	-	643	15901112	-	SP_1251	-	COG1401V	endonuclease	
911052..913028	+	658	15900842	-	SP_0965	-	COG5263R	endo-beta-N-acetylglucosaminidase	
476529..481508	+	1659	15900412	-	SP_0498	-	COG4724G	endo-beta-N-acetylglucosaminidase	
653679..655520	+	613	15900582	-	SP_0681	-	COG1217T	elongation factor Tu family protein	
1399336..1400532	-	398	15901337	tuf	SP_1489	-	COG0050J	elongation factor Tu	
2133145..2134185	-	346	15902018	tsf	SP_2214	-	COG0264J	elongation factor Ts	
408330..408890	-	186	15900353	-	SP_0435	-	COG0231J	elongation factor P	
248433..250514	+	693	15900207	-	SP_0273	-	COG0480J	elongation factor G	
234974..236233	+	419	15900197	-	SP_0263	-	COG0750M	eep protein	
1264034..1265641	-	535	15901196	-	SP_1342	-	COG1132V	drug efflux ABC transporter ATP-binding protein/permease	
1757170..1757631	-	153	15901677	-	SP_1849	-	-	DpnD protein	
1872210..1873034	-	274	15901787	-	SP_1964	-	-	DNA-entry nuclease	
1642146..1642457	-	103	15901569	-	SP_1737	-	COG1758K	DNA-directed RNA polymerase subunit omega	
469739..470341	+	200	255964980	-	SP_0493	-	COG3343K	DNA-directed RNA polymerase subunit delta	
1862645..1866322	-	1225	15901783	-	SP_1960	-	COG0086K	DNA-directed RNA polymerase subunit beta'	
1866355..1869966	-	1203	15901784	rpoB	SP_1961	-	COG0085K	DNA-directed RNA polymerase subunit beta	
206502..207437	+	311	15900172	-	SP_0236	-	COG0202K	DNA-directed RNA polymerase subunit alpha	
129407..130417	+	336	15900071	-	SP_0129	-	COG0533O	DNA-binding/iron metalloprotein/AP endonuclease	
569482..570138	+	218	15900511	-	SP_0603	-	COG0745TK	DNA-binding response regulator VncR	
751962..752636	+	224	15900691	-	SP_0798	-	COG0745TK	DNA-binding response regulator CiaR	
153580..154866	+	428	15900094	-	SP_0156	-	COG4753T	DNA-binding response regulator	
631655..632392	+	245	15900562	-	SP_0661	-	COG4753T	DNA-binding response regulator	
366900..367532	+	210	15900310	-	SP_0387	-	COG2197TK	DNA-binding response regulator	
1903749..1904348	-	199	15901823	-	SP_2000	-	COG2197TK	DNA-binding response regulator	
89038..89736	+	232	15900027	-	SP_0083	-	COG0745TK	DNA-binding response regulator	
355159..355848	+	229	15900299	-	SP_0376	-	COG0745TK	DNA-binding response regulator	
1159455..1160159	-	234	15901089	-	SP_1227	-	COG0745TK	DNA-binding response regulator	
1533515..1534192	-	225	15901469	-	SP_1633	-	COG0745TK	DNA-binding response regulator	
2114113..2114766	-	217	15902000	-	SP_2193	-	COG0745TK	DNA-binding response regulator	
1042099..1042374	+	91	15900980	-	SP_1113	-	COG0776L	DNA-binding protein HU	
1223563..1223895	-	110	15901148	-	SP_1288	-	COG2739S	DNA-binding protein	
172473..173009	+	178	15900117	-	SP_0180	-	COG2818L	DNA-3-methyladenine glycosylase I	
798337..800280	+	647	15900737	-	SP_0852	-	COG0187L	DNA topoisomerase IV subunit B	
800700..803171	+	823	15900740	-	SP_0855	-	COG0188L	DNA topoisomerase IV subunit A	
1195085..1197184	-	699	15901123	-	SP_1263	-	COG0550L	DNA topoisomerase I	
889035..889352	+	105	15900817	-	SP_0937	-	COG4467S	DNA replication intiation control protein YabA	
37334..38104	+	256	15899982	recO	SP_0036	-	COG1381L	DNA repair protein RecO	
1135216..1136883	-	555	15901065	-	SP_1202	-	COG0497L	DNA repair protein RecN	
1024899..1025579	+	226	15900956	radC	SP_1088	-	COG2003L	DNA repair protein RadC	
1199284..1200144	-	286	15901126	-	SP_1266	-	COG0758LU	DNA processing protein DprA	
1008420..1010180	+	586	15900941	dnaG	SP_1072	-	COG0358L	DNA primase	
430899..431933	-	344	15900374	-	SP_0458	-	COG0389L	DNA polymerase IV	
811494..813149	+	551	15900748	-	SP_0865	-	COG2812L	DNA polymerase III subunits gamma and tau	
935894..936484	+	196	15900868	-	SP_0993	-	COG0847L	DNA polymerase III subunit epsilon	
888105..888995	+	296	15900816	-	SP_0936	-	COG0470L	DNA polymerase III subunit delta'	
724170..725207	+	345	15900659	holA	SP_0765	-	COG1466L	DNA polymerase III subunit delta	
1717..2853	+	378	15899951	-	SP_0002	-	COG0592L	DNA polymerase III subunit beta	
250618..255009	+	1463	15900208	polC	SP_0274	-	COG2176L	DNA polymerase III PolC	
847061..850189	+	1042	15900778	dnaE	SP_0895	-	COG0587L	DNA polymerase III DnaE	
31535..34168	+	877	15899978	-	SP_0032	-	COG0749L	DNA polymerase I	
165751..167700	+	649	15900110	mutL	SP_0173	-	COG0323L	DNA mismatch repair protein	
760488..762434	+	648	15900699	gyrB	SP_0806	-	COG0187L	DNA gyrase subunit B	
1147390..1149858	-	822	15901081	-	SP_1219	-	COG0188L	DNA gyrase subunit A	
2090430..2091680	-	416	15901983	-	SP_2173	-	COG3966M	dltD protein	
2091944..2093185	-	413	15901985	-	SP_2175	-	COG1696M	dltB protein	
362178..363131	+	317	15900305	-	SP_0382	-	COG3407I	diphosphomevalonate decarboxylase	
590185..591585	+	466	15900531	-	SP_0623	-	COG0624E	dipeptidase PepV	
1888618..1889457	-	279	15901808	ksgA	SP_1985	-	COG0030J	dimethyladenosine transferase	
2036860..2038563	-	567	15901940	-	SP_2126	-	COG0129EG	dihydroxy-acid dehydratase	
267571..268515	+	314	15900223	-	SP_0289	-	COG0294H	dihydropteroate synthase	
909252..910004	+	250	15900840	-	SP_0963	-	COG0543HC	dihydroorotate dehydrogenase electron transfer subunit	
910015..910953	+	312	15900841	-	SP_0964	-	COG0167F	dihydroorotate dehydrogenase 1B	
723201..724136	+	311	15900658	-	SP_0764	-	COG0167F	dihydroorotate dehydrogenase 1A	
1103083..1104351	-	422	15901032	pyrC	SP_1167	-	COG0044F	dihydroorotase	
1098046..1099089	-	347	15901027	-	SP_1162	-	COG0508C	dihydrolipoamide acetyltransferase	
183283..184533	+	416	15900133	-	SP_0197	-	COG0285H	dihydrofolate synthetase	
268517..269839	+	440	15900224	-	SP_0290	-	COG0285H	dihydrofolate synthetase	
1477417..1477923	-	168	15901414	-	SP_1571	-	COG0262H	dihydrofolate reductase	
